runid,recall,precision,f-score
MICROPINION_ROUGE-1,0.041052950310559,0.105947577639752,0.0556850310559006
MI_MS_10_ROUGE-1,0.00015527950310559,0.000194099378881988,0.000172515527950311
MI_MS_20_ROUGE-1,0.00307860248447205,0.00473894409937888,0.00353096273291926
MI_MS_A_ROUGE-1,0.062663198757764,0.0378568322981366,0.0443128260869565
MI_OP_10_ROUGE-1,0.000113012422360248,0.000517670807453416,0.000185434782608696
MI_OP_20_ROUGE-1,0.00110909937888199,0.00584953416149068,0.00185037267080745
MI_OP_A_ROUGE-1,0.047492701863354,0.102326428571429,0.0601233850931677
