runid,recall,precision,f-score
MICROPINION_ROUGE-SU*,0.00710649068322981,0.0451094409937888,0.0103612732919255
MI_MS_10_ROUGE-SU*,2.87577639751553e-05,4.43788819875776e-05,3.49068322981366e-05
MI_MS_20_ROUGE-SU*,0.000536459627329192,0.00151447204968944,0.000627484472049689
MI_MS_A_ROUGE-SU*,0.013544751552795,0.00578881987577639,0.0066111801242236
MI_OP_10_ROUGE-SU*,7.51552795031056e-06,0.000155590062111801,1.43478260869565e-05
MI_OP_20_ROUGE-SU*,0.000113695652173913,0.00310621118012422,0.000217981366459627
MI_OP_A_ROUGE-SU*,0.00854229813664596,0.0430523913043478,0.011648198757764
