,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
2998,MI_OP_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
2999,MI_OP_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3000,MI_OP_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3001,MI_OP_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3002,MI_OP_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3003,MI_OP_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3004,MI_OP_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3005,MI_OP_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3006,MI_OP_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3007,MI_OP_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3008,MI_OP_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3009,MI_OP_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3010,MI_OP_20,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3011,MI_OP_20,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3012,MI_OP_20,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3013,MI_OP_20,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3014,MI_OP_20,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3015,MI_OP_A,ROUGE-1,Average_R:,0.0215,(95%-conf.int.,0.01999,-,0.02275)
3016,MI_OP_A,ROUGE-1,Average_P:,0.05552000000000001,(95%-conf.int.,0.05147,-,0.05882)
3017,MI_OP_A,ROUGE-1,Average_F:,0.030989999999999997,(95%-conf.int.,0.0288,-,0.03280)
3018,MI_OP_A,ROUGE-2,Average_R:,0.00592,(95%-conf.int.,0.0052,-,0.00634)
3019,MI_OP_A,ROUGE-2,Average_P:,0.01844,(95%-conf.int.,0.01634,-,0.01961)
3020,MI_OP_A,ROUGE-2,Average_F:,0.00896,(95%-conf.int.,0.007890000000000001,-,0.00959)
3021,MI_OP_A,ROUGE-SU*,Average_R:,0.00256,(95%-conf.int.,0.00232,-,0.00274)
