,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
2307,OP_OP_20,ROUGE-2,Average_R:,0.0407,(95%-conf.int.,0.0294,-,0.05593)
2308,OP_OP_20,ROUGE-2,Average_P:,0.07996,(95%-conf.int.,0.06,-,0.10000)
2309,OP_OP_20,ROUGE-2,Average_F:,0.053579999999999996,(95%-conf.int.,0.03943,-,0.06976)
2310,OP_OP_20,ROUGE-SU*,Average_R:,0.03085,(95%-conf.int.,0.02251,-,0.04298)
2311,OP_OP_20,ROUGE-SU*,Average_P:,0.11996,(95%-conf.int.,0.095,-,0.13750)
2312,OP_OP_20,ROUGE-SU*,Average_F:,0.04844,(95%-conf.int.,0.036660000000000005,-,0.06440)
2313,Opinosis10,ROUGE-1,Average_R:,0.14793,(95%-conf.int.,0.12867,-,0.17648)
2314,Opinosis10,ROUGE-1,Average_P:,0.39991,(95%-conf.int.,0.35,-,0.43750)
2315,Opinosis10,ROUGE-1,Average_F:,0.21505,(95%-conf.int.,0.18952,-,0.24896)
2316,Opinosis10,ROUGE-2,Average_R:,0.0407,(95%-conf.int.,0.0294,-,0.05593)
2317,Opinosis10,ROUGE-2,Average_P:,0.13327,(95%-conf.int.,0.1,-,0.16667)
2318,Opinosis10,ROUGE-2,Average_F:,0.062020000000000006,(95%-conf.int.,0.0454,-,0.08249)
2319,Opinosis10,ROUGE-SU*,Average_R:,0.01803,(95%-conf.int.,0.01082,-,0.02735)
2320,Opinosis10,ROUGE-SU*,Average_P:,0.15546,(95%-conf.int.,0.1,-,0.19444)
2321,Opinosis10,ROUGE-SU*,Average_F:,0.03204,(95%-conf.int.,0.01969,-,0.04748)
2322,MULTISEN,ROUGE-1,Average_R:,0.21791,(95%-conf.int.,0.20182,-,0.23077)
2323,MULTISEN,ROUGE-1,Average_P:,0.13997,(95%-conf.int.,0.12,-,0.15000)
2324,MULTISEN,ROUGE-1,Average_F:,0.17007,(95%-conf.int.,0.14984,-,0.18182)
2325,MULTISEN,ROUGE-2,Average_R:,0.03524,(95%-conf.int.,0.01709,-,0.04545)
2326,MULTISEN,ROUGE-2,Average_P:,0.02221,(95%-conf.int.,0.01111,-,0.02778)
2327,MULTISEN,ROUGE-2,Average_F:,0.027219999999999998,(95%-conf.int.,0.01345,-,0.03448)
2328,MULTISEN,ROUGE-SU*,Average_R:,0.07579,(95%-conf.int.,0.06769,-,0.08182)
2329,MULTISEN,ROUGE-SU*,Average_P:,0.03703,(95%-conf.int.,0.027780000000000003,-,0.04167)
2330,MULTISEN,ROUGE-SU*,Average_F:,0.04937,(95%-conf.int.,0.03868,-,0.05522)
2331,MyTestRun,ROUGE-1,Average_R:,0.34331,(95%-conf.int.,0.33819,-,0.34615)
2332,MyTestRun,ROUGE-1,Average_P:,0.54994,(95%-conf.int.,0.4875,-,0.60000)
2333,MyTestRun,ROUGE-1,Average_F:,0.42168,(95%-conf.int.,0.39846,-,0.43810)
2334,MyTestRun,ROUGE-2,Average_R:,0.07575,(95%-conf.int.,0.052360000000000004,-,0.09942)
2335,MyTestRun,ROUGE-2,Average_P:,0.13305,(95%-conf.int.,0.1,-,0.16667)
2336,MyTestRun,ROUGE-2,Average_F:,0.09608,(95%-conf.int.,0.06867999999999999,-,0.12385)
