runid,recall,precision,f-score
HO_MS_10_ROUGE-SU*,0.000550975609756097,0.000747256097560976,0.000405579268292683
HO_MS_20_ROUGE-SU*,0.000707408536585366,0.000897103658536585,0.00053765243902439
HO_MS_F_ROUGE-SU*,0.000534298780487805,0.00111158536585366,0.000604237804878049
HO_OP_10_ROUGE-SU*,0.000762012195121951,0.00283823170731707,0.000939237804878049
HO_OP_20_ROUGE-SU*,0.00259115853658537,0.00613356707317073,0.00324920731707317
HO_OP_F_ROUGE-SU*,0.00259115853658537,0.00613356707317073,0.00324920731707317
