runid,recall,precision,f-score
HO_MS_10_ROUGE-SU*,0,0,0
HO_MS_20_ROUGE-SU*,0,0,0
HO_MS_F_ROUGE-SU*,0,0,0
HO_OP_10_ROUGE-SU*,0,0,0
HO_OP_20_ROUGE-SU*,0,0,0
HO_OP_F_ROUGE-SU*,0,0,0
